sample,etchlevel,etchtime,depth_order,oxide_thickness_nm,thickness_err_nm
ReTa03,,,0,2.410868328991029,0.10861302510059327
ReTa03,0.0,0.0,1,2.297166256135094,0.0
ReTa03,1.0,10.013,2,1.7747858597525537,0.09140924705063577
ReTa03,2.0,20.026,3,1.7331459613291689,0.07476472373892286
ReTa03,3.0,30.038,4,0.3666858617232683,0.0
ReTa03,4.0,40.051,5,0.3350042332825327,0.0
ReTa03,5.0,50.064,6,1.5277367652934144,0.06444004774821924
ReTa03,6.0,60.077,7,1.4790200081625349,0.07860437969253016
ReTa03,7.0,70.09,8,1.5242524217123932,0.07932649573209918
ReTa03,8.0,80.103,9,1.5676588938883866,0.07915878183133902
ReTa03,9.0,90.115,10,2.1760928698095108,0.10830232930524344
ReTa04,,,0,3.6285733395906203,0.2029552770403477
ReTa04,0.0,0.0,1,3.2543220407011146,0.1389787759979984
ReTa04,1.0,10.013,2,2.188280312436957,0.09051550120241039
ReTa04,2.0,20.026,3,1.8075261253257693,0.09835832238219556
ReTa04,3.0,30.039,4,1.931691267912636,0.08928224546125073
ReTa04,4.0,40.051,5,2.0989589351486413,0.093162916952936
ReTa04,5.0,50.063,6,1.8801819924193077,0.08892180009516977
ReTa04,6.0,60.076,7,1.8119245356150544,0.09895718151871707
ReTa04,7.0,70.089,8,1.9027277561401383,0.08982763996430697
ReTa04,8.0,80.101,9,2.431742072305744,0.11596818115291209
ReTa04,9.0,90.114,10,2.296845173225576,0.0
