sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV,etchlevel,etchtime,depth_order
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.125470549971986,0.008132217858334508,0.4254705499719833,,,0
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.1251938263223,0.00769170205239797,0.42519382632229963,0.0,0.0,1
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09242525793264,0.009127309371653443,0.3924252579326364,1.0,10.013,2
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.096304568376034,0.009540139067051562,0.39630456837603134,2.0,20.026,3
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.098221752152725,0.009151856904905754,0.3982217521527218,3.0,30.038,4
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09643115429248,0.00941465139479247,0.396431154292479,4.0,40.051,5
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09301035792031,0.009161840601705277,0.3930103579203106,5.0,50.064,6
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09350827868737,0.009118299618345265,0.3935082786873707,6.0,60.077,7
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.09051423887522,0.009371075211798068,0.39051423887521963,7.0,70.09,8
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.0885148552169,0.008937614710940556,0.3885148552168971,8.0,80.103,9
ReTa03,Unknown,Re4f,Re metal,5/2,42.7,43.08840456397442,0.009163780615492487,0.3884045639744187,9.0,90.115,10
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.698972858782206,0.005232170050893835,0.39897285878220856,,,0
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.69962016298651,0.005024419948965077,0.3996201629865155,0.0,0.0,1
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.657381698033085,0.005967306203670116,0.3573816980330875,1.0,10.013,2
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.66038567734014,0.006222553650687625,0.3603856773401404,2.0,20.026,3
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.663926907410406,0.005971822266246376,0.36392690741040923,3.0,30.038,4
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.66055963668781,0.0061118664022784455,0.3605596366878103,4.0,40.051,5
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.65769120891619,0.006012502909149194,0.35769120891619366,5.0,50.064,6
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.65816888739682,0.00593412848623609,0.35816888739682184,6.0,60.077,7
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.655043106790345,0.006125388701408315,0.35504310679034745,7.0,70.09,8
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.65427946715178,0.0058468344631069655,0.35427946715178393,8.0,80.103,9
ReTa03,Unknown,Re4f,Re metal,7/2,40.3,40.652675829288256,0.005987445461547709,0.352675829288259,9.0,90.115,10
