index,sample,etchlevel,etchtime,oxide_thickness_nm,thickness_err_nm
0,ReTa03,0,0.0,1.0304523714158111,0.04086962070018357
1,ReTa03,1,10.013,0.6090320883078534,0.05512323595125726
2,ReTa03,2,20.026,0.6212538562235973,0.058101358940306075
3,ReTa03,3,30.038,0.6135709097772889,0.05594130399822774
4,ReTa03,4,40.051,0.6206297238100219,0.05738169338370329
5,ReTa03,5,50.064,0.6131891888401719,0.05708659647785854
6,ReTa03,6,60.077,0.6090733569038818,0.05607457473732281
7,ReTa03,7,70.09,0.6165555600665112,0.057890885306453095
8,ReTa03,8,80.103,0.6080314742619448,0.05515204040378746
9,ReTa03,9,90.115,0.6087150703242881,0.056877516454046394
10,ReTa04,0,0.0,1.0566644181741007,0.039572077899948356
11,ReTa04,1,10.013,0.6095872370497335,0.03475485318564749
12,ReTa04,2,20.026,0.6182387839153038,0.035913122892007765
13,ReTa04,3,30.039,0.6191138492106648,0.03611389984456751
14,ReTa04,4,40.051,0.6223351873073302,0.03597394302631727
15,ReTa04,5,50.063,0.6188003176380118,0.036173716111706215
16,ReTa04,6,60.076,0.6169669605431501,0.03625738360963635
17,ReTa04,7,70.089,0.624430377441734,0.03719363250130764
18,ReTa04,8,80.101,0.6198281728949487,0.03631752562577857
19,ReTa04,9,90.114,0.6050903059020559,0.034703030154436446
