index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
0,ReTa03,0,0.0,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.0,0.19999999999999574
0,ReTa03,0,0.0,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.0,0.18999999999999417
0,ReTa03,0,0.0,Ta4f,Ta interface,7/2,22.4,22.71781675566773,0.0,0.3178167556677316
0,ReTa03,0,0.0,Ta4f,Ta interface,5/2,24.3,24.607816755667727,0.0,0.3078167556677265
0,ReTa03,0,0.0,Ta4f,Ta alloy,7/2,24.0,24.699999999999996,0.0,0.6999999999999957
0,ReTa03,0,0.0,Ta4f,Ta alloy,5/2,25.9,26.589999999999993,0.0,0.6899999999999942
0,ReTa03,0,0.0,Ta4f,Ta+1,7/2,22.7,22.89968202407855,0.0,0.19968202407855173
0,ReTa03,0,0.0,Ta4f,Ta+1,5/2,24.6,24.789682024078548,0.0,0.18968202407854662
0,ReTa03,0,0.0,Ta4f,Ta+3,7/2,24.2,23.79240983205975,0.0,-0.40759016794024916
0,ReTa03,0,0.0,Ta4f,Ta+3,5/2,26.1,25.682409832059747,0.0,-0.4175901679402543
0,ReTa03,0,0.0,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.1667287596256,0.0,-0.6332712403744019
0,ReTa03,0,0.0,Ta4f,Ta+5 (Ta2O5),5/2,28.7,28.056728759625596,0.0,-0.6432712403744034
1,ReTa03,1,10.013,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.0,0.19999999999999574
1,ReTa03,1,10.013,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.0,0.18999999999999417
1,ReTa03,1,10.013,Ta4f,Ta interface,7/2,22.4,22.569372021081836,0.0,0.1693720210818377
1,ReTa03,1,10.013,Ta4f,Ta interface,5/2,24.3,24.459372021081833,0.0,0.15937202108183257
1,ReTa03,1,10.013,Ta4f,Ta alloy,7/2,24.0,24.699999999999996,0.0,0.6999999999999957
1,ReTa03,1,10.013,Ta4f,Ta alloy,5/2,25.9,26.589999999999993,0.0,0.6899999999999942
1,ReTa03,1,10.013,Ta4f,Ta+1,7/2,22.7,22.725793512847492,0.0,0.02579351284749265
1,ReTa03,1,10.013,Ta4f,Ta+1,5/2,24.6,24.61579351284749,0.0,0.015793512847487534
1,ReTa03,1,10.013,Ta4f,Ta+3,7/2,24.2,23.707636831172678,0.0,-0.4923631688273211
1,ReTa03,1,10.013,Ta4f,Ta+3,5/2,26.1,25.597636831172675,0.0,-0.5023631688273262
1,ReTa03,1,10.013,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000007,0.0,-0.7999999999999936
1,ReTa03,1,10.013,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.890000000000004,0.0,-0.8099999999999952
2,ReTa03,2,20.026,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.0,0.19999999999999574
2,ReTa03,2,20.026,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.0,0.18999999999999417
2,ReTa03,2,20.026,Ta4f,Ta interface,7/2,22.4,22.565217044886573,0.0,0.16521704488657463
2,ReTa03,2,20.026,Ta4f,Ta interface,5/2,24.3,24.45521704488657,0.0,0.1552170448865695
2,ReTa03,2,20.026,Ta4f,Ta alloy,7/2,24.0,24.699999999999996,0.0,0.6999999999999957
