index,sample,etchlevel,etchtime,reference_profile,species,expected_amp,fitted_amp,stderr,delta
0,ReTa03,0,0.0,Control-derived reference,Re metal,0.5,0.7241957079247409,0.022150349635347462,0.22419570792474086
0,ReTa03,0,0.0,Control-derived reference,ReO2 (Re4+),0.25,0.18573462060484192,0.03134549137354521,-0.06426537939515808
0,ReTa03,0,0.0,Control-derived reference,ReO3 (Re6+),0.15,0.05523951708779244,0.022705150999591542,-0.09476048291220755
0,ReTa03,0,0.0,Control-derived reference,Re2O7 (Re7+),0.1,0.03483015438262483,0.006419306335613386,-0.06516984561737518
1,ReTa03,1,10.013,Control-derived reference,Re metal,0.5,0.827402890284417,0.03017343803511788,0.32740289028441705
1,ReTa03,1,10.013,Control-derived reference,ReO2 (Re4+),0.25,0.08995483700306428,0.08713252292403012,-0.16004516299693572
1,ReTa03,1,10.013,Control-derived reference,ReO3 (Re6+),0.15,0.03436286460462632,0.07109509783934477,-0.11563713539537368
1,ReTa03,1,10.013,Control-derived reference,Re2O7 (Re7+),0.1,0.04827940810789239,0.0075066588828714064,-0.05172059189210761
2,ReTa03,2,20.026,Control-derived reference,Re metal,0.5,0.8242317474624081,0.03158022103203399,0.3242317474624081
2,ReTa03,2,20.026,Control-derived reference,ReO2 (Re4+),0.25,0.0905037745241703,0.09447205470164986,-0.1594962254758297
2,ReTa03,2,20.026,Control-derived reference,ReO3 (Re6+),0.15,0.03517569401261181,0.07741308660388842,-0.11482430598738819
2,ReTa03,2,20.026,Control-derived reference,Re2O7 (Re7+),0.1,0.05008878400080965,0.007692783988920688,-0.04991121599919036
3,ReTa03,3,30.038,Control-derived reference,Re metal,0.5,0.8262226130635608,0.030368758424996006,0.3262226130635608
3,ReTa03,3,30.038,Control-derived reference,ReO2 (Re4+),0.25,0.09012464127459723,0.08882750805619238,-0.15987535872540276
3,ReTa03,3,30.038,Control-derived reference,ReO3 (Re6+),0.15,0.03561213160104873,0.07264023174123838,-0.11438786839895126
3,ReTa03,3,30.038,Control-derived reference,Re2O7 (Re7+),0.1,0.04804061406079322,0.007467942086225797,-0.051959385939206786
4,ReTa03,4,40.051,Control-derived reference,Re metal,0.5,0.8243900111915103,0.031425648730065356,0.32439001119151034
4,ReTa03,4,40.051,Control-derived reference,ReO2 (Re4+),0.25,0.0907704840558198,0.09597633385088379,-0.1592295159441802
4,ReTa03,4,40.051,Control-derived reference,ReO3 (Re6+),0.15,0.035356097483349634,0.0787349647942061,-0.11464390251665035
4,ReTa03,4,40.051,Control-derived reference,Re2O7 (Re7+),0.1,0.049483407269320226,0.007527933763423699,-0.05051659273067978
5,ReTa03,5,50.064,Control-derived reference,Re metal,0.5,0.8263220087197363,0.029980531522232845,0.32632200871973627
5,ReTa03,5,50.064,Control-derived reference,ReO2 (Re4+),0.25,0.08991628133444289,0.09085596940417956,-0.1600837186655571
5,ReTa03,5,50.064,Control-derived reference,ReO3 (Re6+),0.15,0.03536032314840458,0.0751625414510713,-0.11463967685159542
5,ReTa03,5,50.064,Control-derived reference,Re2O7 (Re7+),0.1,0.048401386797416256,0.0075228069371290444,-0.05159861320258375
6,ReTa03,6,60.077,Control-derived reference,Re metal,0.5,0.827393968268549,0.030058544022236417,0.32739396826854905
6,ReTa03,6,60.077,Control-derived reference,ReO2 (Re4+),0.25,0.0895908704633002,0.09199632500632672,-0.16040912953669978
6,ReTa03,6,60.077,Control-derived reference,ReO3 (Re6+),0.15,0.03536274032340596,0.0759270969543061,-0.11463725967659404
