index,sample,etchlevel,etchtime,species,expected_sigma_eV,fitted_sigma_eV,fitted_stderr,delta_eV
0,ReTa03,0,0.0,Re metal,0.12,0.2137675472317096,0.0038087202461501344,0.0937675472317096
0,ReTa03,0,0.0,ReO2 (Re4+),0.25,0.5999999999999999,0.08935862101986491,0.34999999999999987
0,ReTa03,0,0.0,ReO3 (Re6+),0.25,0.5654691703018456,0.14073294284289362,0.3154691703018456
0,ReTa03,0,0.0,Re2O7 (Re7+),0.3,0.9999999999999999,0.25325772858844836,0.7
1,ReTa03,1,10.013,Re metal,0.12,0.21047696296210514,0.004462945103892719,0.09047696296210514
1,ReTa03,1,10.013,ReO2 (Re4+),0.25,0.5999999999999999,0.3794741092527573,0.34999999999999987
1,ReTa03,1,10.013,ReO3 (Re6+),0.25,0.6240437894336975,0.602811769391731,0.37404378943369754
1,ReTa03,1,10.013,Re2O7 (Re7+),0.3,0.9999999999999999,0.22471346859447588,0.7
2,ReTa03,2,20.026,Re metal,0.12,0.21119205540662472,0.0046334086202475325,0.09119205540662473
2,ReTa03,2,20.026,ReO2 (Re4+),0.25,0.5999999999999999,0.39999756439969775,0.34999999999999987
2,ReTa03,2,20.026,ReO3 (Re6+),0.25,0.6258470313085652,0.6302063589019699,0.3758470313085652
2,ReTa03,2,20.026,Re2O7 (Re7+),0.3,0.9999999999999999,0.22224063005132774,0.7
3,ReTa03,3,30.038,Re metal,0.12,0.2109760554198299,0.004444226805447915,0.0909760554198299
3,ReTa03,3,30.038,ReO2 (Re4+),0.25,0.5999999999999999,0.3801914664232065,0.34999999999999987
3,ReTa03,3,30.038,ReO3 (Re6+),0.25,0.629659726297027,0.5970991908359459,0.37965972629702704
3,ReTa03,3,30.038,Re2O7 (Re7+),0.3,0.9999999999999999,0.22399972340950275,0.7
4,ReTa03,4,40.051,Re metal,0.12,0.21128417684683562,0.004556119956579404,0.09128417684683562
4,ReTa03,4,40.051,ReO2 (Re4+),0.25,0.5999999999999999,0.40370333866889735,0.34999999999999987
4,ReTa03,4,40.051,ReO3 (Re6+),0.25,0.6195592621579017,0.6168649921399083,0.3695592621579017
