index,sample,etchlevel,etchtime,species,expected_sigma_eV,fitted_sigma_eV,fitted_stderr,delta_eV
0,ReTa03,0,0.0,Ta metal,0.1,0.1546891762819281,0.0,0.0546891762819281
0,ReTa03,0,0.0,Ta interface,0.1,0.1546891762819281,0.0,0.0546891762819281
0,ReTa03,0,0.0,Ta alloy,0.1,0.1546891762819281,0.0,0.0546891762819281
0,ReTa03,0,0.0,Ta+1,0.2,0.4893675947984158,0.0,0.2893675947984158
0,ReTa03,0,0.0,Ta+3,0.2,0.4893675947984158,0.0,0.2893675947984158
0,ReTa03,0,0.0,Ta+5 (Ta2O5),0.2,0.4893675947984158,0.0,0.2893675947984158
1,ReTa03,1,10.013,Ta metal,0.1,0.19999999999999998,0.020697918955708883,0.09999999999999998
1,ReTa03,1,10.013,Ta interface,0.1,0.19999999999999998,0.020697918974985307,0.09999999999999998
1,ReTa03,1,10.013,Ta alloy,0.1,0.19999999999999998,0.020697918974985307,0.09999999999999998
1,ReTa03,1,10.013,Ta+1,0.2,0.3506789600662907,0.01972036235775652,0.15067896006629067
1,ReTa03,1,10.013,Ta+3,0.2,0.3506789600662907,0.01972036235775652,0.15067896006629067
1,ReTa03,1,10.013,Ta+5 (Ta2O5),0.2,0.3506789600662907,0.01972036236927865,0.15067896006629067
2,ReTa03,2,20.026,Ta metal,0.1,0.19999999999999998,0.02235252655084412,0.09999999999999998
2,ReTa03,2,20.026,Ta interface,0.1,0.19999999999999998,0.02235252657166154,0.09999999999999998
2,ReTa03,2,20.026,Ta alloy,0.1,0.19999999999999998,0.02235252657166154,0.09999999999999998
2,ReTa03,2,20.026,Ta+1,0.2,0.3426487549163046,0.01802538246767548,0.14264875491630458
2,ReTa03,2,20.026,Ta+3,0.2,0.3426487549163046,0.01802538246767548,0.14264875491630458
2,ReTa03,2,20.026,Ta+5 (Ta2O5),0.2,0.3426487549163046,0.018025382423344602,0.14264875491630458
3,ReTa03,3,30.038,Ta metal,0.1,0.19999999999999998,0.02173604533600214,0.09999999999999998
3,ReTa03,3,30.038,Ta interface,0.1,0.19999999999999998,0.021736045356245393,0.09999999999999998
3,ReTa03,3,30.038,Ta alloy,0.1,0.19999999999999998,0.021736045356245393,0.09999999999999998
3,ReTa03,3,30.038,Ta+1,0.2,0.3380089837328223,0.017432118563858144,0.13800898373282228
3,ReTa03,3,30.038,Ta+3,0.2,0.3380089837328223,0.017432118563858144,0.13800898373282228
3,ReTa03,3,30.038,Ta+5 (Ta2O5),0.2,0.3380089837328223,0.017432118598520563,0.13800898373282228
4,ReTa03,4,40.051,Ta metal,0.1,0.19999999999999998,0.021321215853256838,0.09999999999999998
4,ReTa03,4,40.051,Ta interface,0.1,0.19999999999999998,0.021321215873113766,0.09999999999999998
4,ReTa03,4,40.051,Ta alloy,0.1,0.19999999999999998,0.021321215873113766,0.09999999999999998
4,ReTa03,4,40.051,Ta+1,0.2,0.3353635090544224,0.016590604682609297,0.1353635090544224
4,ReTa03,4,40.051,Ta+3,0.2,0.3353635090544224,0.016590604682609297,0.1353635090544224
4,ReTa03,4,40.051,Ta+5 (Ta2O5),0.2,0.3353635090544224,0.01659060467869937,0.1353635090544224
5,ReTa03,5,50.064,Ta metal,0.1,0.19999999999999998,0.022785070388811564,0.09999999999999998
5,ReTa03,5,50.064,Ta interface,0.1,0.19999999999999998,0.022785070410031815,0.09999999999999998
5,ReTa03,5,50.064,Ta alloy,0.1,0.19999999999999998,0.022785070410031815,0.09999999999999998
5,ReTa03,5,50.064,Ta+1,0.2,0.3371793614346334,0.01766325401946837,0.13717936143463338
5,ReTa03,5,50.064,Ta+3,0.2,0.3371793614346334,0.01766325401946837,0.13717936143463338
5,ReTa03,5,50.064,Ta+5 (Ta2O5),0.2,0.3371793614346334,0.017663254046885988,0.13717936143463338
6,ReTa03,6,60.077,Ta metal,0.1,0.19999999999999998,0.02144232771334936,0.09999999999999998
6,ReTa03,6,60.077,Ta interface,0.1,0.19999999999999998,0.021442327733319087,0.09999999999999998
6,ReTa03,6,60.077,Ta alloy,0.1,0.19999999999999998,0.021442327733319087,0.09999999999999998
6,ReTa03,6,60.077,Ta+1,0.2,0.33483663321002927,0.0168060450867437,0.13483663321002926
6,ReTa03,6,60.077,Ta+3,0.2,0.33483663321002927,0.0168060450867437,0.13483663321002926
6,ReTa03,6,60.077,Ta+5 (Ta2O5),0.2,0.33483663321002927,0.016806045053319146,0.13483663321002926
7,ReTa03,7,70.09,Ta metal,0.1,0.19999999999999998,0.02168041806442202,0.09999999999999998
7,ReTa03,7,70.09,Ta interface,0.1,0.19999999999999998,0.02168041808461349,0.09999999999999998
7,ReTa03,7,70.09,Ta alloy,0.1,0.19999999999999998,0.02168041808461349,0.09999999999999998
7,ReTa03,7,70.09,Ta+1,0.2,0.33493207337027503,0.016772176997858778,0.13493207337027502
7,ReTa03,7,70.09,Ta+3,0.2,0.33493207337027503,0.016772176997858778,0.13493207337027502
7,ReTa03,7,70.09,Ta+5 (Ta2O5),0.2,0.33493207337027503,0.01677217696878983,0.13493207337027502
8,ReTa03,8,80.103,Ta metal,0.1,0.19999999999999998,0.02178931197487735,0.09999999999999998
8,ReTa03,8,80.103,Ta interface,0.1,0.19999999999999998,0.021789311995170216,0.09999999999999998
8,ReTa03,8,80.103,Ta alloy,0.1,0.19999999999999998,0.021789311995170216,0.09999999999999998
8,ReTa03,8,80.103,Ta+1,0.2,0.3353875658051295,0.016465270266829687,0.1353875658051295
8,ReTa03,8,80.103,Ta+3,0.2,0.3353875658051295,0.016465270266829687,0.1353875658051295
8,ReTa03,8,80.103,Ta+5 (Ta2O5),0.2,0.3353875658051295,0.016465270296755416,0.1353875658051295
9,ReTa03,9,90.115,Ta metal,0.1,0.19999999999999998,0.022283996945487855,0.09999999999999998
9,ReTa03,9,90.115,Ta interface,0.1,0.19999999999999998,0.022283996966241455,0.09999999999999998
9,ReTa03,9,90.115,Ta alloy,0.1,0.19999999999999998,0.022283996966241455,0.09999999999999998
9,ReTa03,9,90.115,Ta+1,0.2,0.3357553057008775,0.01664632909432862,0.13575530570087752
9,ReTa03,9,90.115,Ta+3,0.2,0.3357553057008775,0.01664632909432862,0.13575530570087752
9,ReTa03,9,90.115,Ta+5 (Ta2O5),0.2,0.3357553057008775,0.0166463291109945,0.13575530570087752
10,ReTa04,0,0.0,Ta metal,0.1,0.1406457543345205,0.0,0.0406457543345205
10,ReTa04,0,0.0,Ta interface,0.1,0.1406457543345205,0.0,0.0406457543345205
10,ReTa04,0,0.0,Ta alloy,0.1,0.1406457543345205,0.0,0.0406457543345205
10,ReTa04,0,0.0,Ta+1,0.2,0.56607700285341,0.0,0.36607700285341
10,ReTa04,0,0.0,Ta+3,0.2,0.56607700285341,0.0,0.36607700285341
10,ReTa04,0,0.0,Ta+5 (Ta2O5),0.2,0.56607700285341,0.0,0.36607700285341
11,ReTa04,1,10.013,Ta metal,0.1,0.19999999999999998,0.0236167374324011,0.09999999999999998
