index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
0,ReTa03,0,0.0,Re4f,Re metal,7/2,40.35,40.699619874058754,0.007485299973538503,0.34961987405875306
0,ReTa03,0,0.0,Re4f,Re metal,5/2,42.77,43.12519293006127,0.008570024271270182,0.3551929300612642
0,ReTa03,0,0.0,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.053098184825543245,-0.3999999999999986
0,ReTa03,0,0.0,Re4f,ReO2 (Re4+),5/2,44.62,44.22557305600252,0.05212307870276224,-0.39442694399748035
0,ReTa03,0,0.0,Re4f,ReO3 (Re6+),7/2,43.1,43.49146174961813,0.17898164826823146,0.39146174961813074
0,ReTa03,0,0.0,Re4f,ReO3 (Re6+),5/2,45.52,45.917034805620645,0.17843597841750686,0.39703480562064186
0,ReTa03,0,0.0,Re4f,Re2O7 (Re7+),7/2,45.5,46.69999999999995,0.44262304893494525,1.199999999999953
0,ReTa03,0,0.0,Re4f,Re2O7 (Re7+),5/2,47.92,49.125573056002466,0.44302072967098854,1.2055730560024642
1,ReTa03,1,10.013,Re4f,Re metal,7/2,40.35,40.65738185265389,0.008933135386052844,0.30738185265389006
1,ReTa03,1,10.013,Re4f,Re metal,5/2,42.77,43.092425740333,0.01040067292143385,0.32242574033299576
1,ReTa03,1,10.013,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.3374087009553771,-0.3999999999999986
1,ReTa03,1,10.013,Re4f,ReO2 (Re4+),5/2,44.62,44.23504388767911,0.3362707312870779,-0.3849561123208858
1,ReTa03,1,10.013,Re4f,ReO3 (Re6+),7/2,43.1,43.158350656226766,1.201732890212034,0.058350656226764386
1,ReTa03,1,10.013,Re4f,ReO3 (Re6+),5/2,45.52,45.59339454390587,1.2004509804948373,0.07339454390587008
1,ReTa03,1,10.013,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.39398287752583006,1.1999999999999957
1,ReTa03,1,10.013,Re4f,Re2O7 (Re7+),5/2,47.92,49.1350438876791,0.3938033304679532,1.2150438876791014
2,ReTa03,2,20.026,Re4f,Re metal,7/2,40.35,40.66038629499767,0.009341902836863246,0.3103862949976701
2,ReTa03,2,20.026,Re4f,Re metal,5/2,42.77,43.09630398116728,0.010883585600298054,0.3263039811672783
2,ReTa03,2,20.026,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.36560858761928944,-0.3999999999999986
2,ReTa03,2,20.026,Re4f,ReO2 (Re4+),5/2,44.62,44.235917686169614,0.36437528830110855,-0.38408231383038327
2,ReTa03,2,20.026,Re4f,ReO3 (Re6+),7/2,43.1,43.14396422739215,1.281403420622984,0.04396422739215211
2,ReTa03,2,20.026,Re4f,ReO3 (Re6+),5/2,45.52,45.57988191356176,1.2800197268548752,0.059881913561760314
2,ReTa03,2,20.026,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.39022113388417246,1.1999999999999957
2,ReTa03,2,20.026,Re4f,Re2O7 (Re7+),5/2,47.92,49.135917686169606,0.3900708460327873,1.215917686169604
3,ReTa03,3,30.038,Re4f,Re metal,7/2,40.35,40.66392635462426,0.008937416734048853,0.31392635462425744
3,ReTa03,3,30.038,Re4f,Re metal,5/2,42.77,43.09822233617676,0.010405301004973456,0.3282223361767578
3,ReTa03,3,30.038,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.3420476505926553,-0.3999999999999986
3,ReTa03,3,30.038,Re4f,ReO2 (Re4+),5/2,44.62,44.234295981552506,0.3408823345413606,-0.38570401844749114
3,ReTa03,3,30.038,Re4f,ReO3 (Re6+),7/2,43.1,43.15587904708812,1.1996211368959049,0.055879047088119194
3,ReTa03,3,30.038,Re4f,ReO3 (Re6+),5/2,45.52,45.59017502864062,1.1983271690072197,0.07017502864061953
3,ReTa03,3,30.038,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.39325130925697693,1.1999999999999957
3,ReTa03,3,30.038,Re4f,Re2O7 (Re7+),5/2,47.92,49.1342959815525,0.39309443978549263,1.214295981552496
4,ReTa03,4,40.051,Re4f,Re metal,7/2,40.35,40.66055817388746,0.00921932150917726,0.31055817388745766
4,ReTa03,4,40.051,Re4f,Re metal,5/2,42.77,43.09643019905977,0.010813482467947983,0.32643019905976445
4,ReTa03,4,40.051,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000004,0.3732854854712329,-0.3999999999999986
4,ReTa03,4,40.051,Re4f,ReO2 (Re4+),5/2,44.62,44.23587202517231,0.37196681358086525,-0.3841279748276847
4,ReTa03,4,40.051,Re4f,ReO3 (Re6+),7/2,43.1,43.12925728151704,1.2740156535507212,0.029257281517040212
4,ReTa03,4,40.051,Re4f,ReO3 (Re6+),5/2,45.52,45.56512930668935,1.2725357116792348,0.045129306689347004
4,ReTa03,4,40.051,Re4f,Re2O7 (Re7+),7/2,45.5,46.699999999999996,0.38823092143565946,1.1999999999999957
4,ReTa03,4,40.051,Re4f,Re2O7 (Re7+),5/2,47.92,49.135872025172304,0.3881174285732918,1.2158720251723025
5,ReTa03,5,50.064,Re4f,Re metal,7/2,40.35,40.65769087897909,0.008966225002049868,0.30769087897908776
