index,sample,etchlevel,etchtime,oxide_thickness_nm,thickness_err_nm
0,ReTa03,0,0.0,5.016917325969406,0.0
1,ReTa03,1,10.013,4.8820614744617385,1.4527937886141076
2,ReTa03,2,20.026,4.940106993222056,1.4749267368668544
3,ReTa03,3,30.038,4.82590217323976,1.3835374309301982
4,ReTa03,4,40.051,4.6576424548607065,1.2193409409838505
5,ReTa03,5,50.064,4.755656994920084,1.3522482947384877
6,ReTa03,6,60.077,4.634585114746091,1.2653546228493335
7,ReTa03,7,70.09,4.645033364993701,1.288887150199626
8,ReTa03,8,80.103,4.6573598525228,1.302222089766083
9,ReTa03,9,90.115,4.667345062948012,1.3028769913142035
10,ReTa04,0,0.0,5.067115500565735,0.0
11,ReTa04,1,10.013,4.789110309769246,1.9054245141053379
12,ReTa04,2,20.026,4.644187471010526,1.8195863194887774
13,ReTa04,3,30.039,4.542111644181599,1.7413367979732144
14,ReTa04,4,40.051,4.509171811999692,1.6504961780161707
15,ReTa04,5,50.063,4.602148685474794,1.735012422734668
16,ReTa04,6,60.076,4.485312395289879,1.5414082662389461
17,ReTa04,7,70.089,4.57102534922438,1.8099730526116236
18,ReTa04,8,80.101,4.469738705103888,1.5999678746648538
19,ReTa04,9,90.114,4.498645842867069,1.701473853325657
