element,species,spin,group,week,mean,std,count,sem
Re4f,Re metal,5/2,BOE,0,0.11709074186436652,,1,0.0
Re4f,Re metal,5/2,BOE,1,0.10828930151961202,,1,0.0
Re4f,Re metal,5/2,BOE,2,0.10967708792039588,,1,0.0
Re4f,Re metal,5/2,BOE,3,0.10208888357806245,,1,0.0
Re4f,Re metal,5/2,Control,0,0.11546142744029453,,1,0.0
Re4f,Re metal,5/2,Control,1,0.10296571304007074,,1,0.0
Re4f,Re metal,5/2,Control,2,0.10519735027832411,,1,0.0
Re4f,Re metal,5/2,Control,3,0.10149786468948463,,1,0.0
Re4f,Re metal,7/2,BOE,0,0.10999137698868111,,1,0.0
Re4f,Re metal,7/2,BOE,1,0.10027197813364097,,1,0.0
Re4f,Re metal,7/2,BOE,2,0.10289767888304624,,1,0.0
Re4f,Re metal,7/2,BOE,3,0.09505916183181284,,1,0.0
Re4f,Re metal,7/2,Control,0,0.1101845817399294,,1,0.0
Re4f,Re metal,7/2,Control,1,0.09867366698417612,,1,0.0
Re4f,Re metal,7/2,Control,2,0.10248934908088358,,1,0.0
Re4f,Re metal,7/2,Control,3,0.09915266721130678,,1,0.0
Re4f,Re2O7 (Re7+),5/2,BOE,0,0.29316915847077496,,1,0.0
Re4f,Re2O7 (Re7+),5/2,BOE,1,0.33197551356671795,,1,0.0
Re4f,Re2O7 (Re7+),5/2,BOE,2,0.2320877823021874,,1,0.0
Re4f,Re2O7 (Re7+),5/2,BOE,3,0.429067826147822,,1,0.0
Re4f,Re2O7 (Re7+),5/2,Control,0,0.6151987824955398,,1,0.0
Re4f,Re2O7 (Re7+),5/2,Control,1,0.47769733690518024,,1,0.0
Re4f,Re2O7 (Re7+),5/2,Control,2,0.46180356105070075,,1,0.0
Re4f,Re2O7 (Re7+),5/2,Control,3,0.4633132084150873,,1,0.0
Re4f,Re2O7 (Re7+),7/2,BOE,0,0.28606979359508244,,1,0.0
Re4f,Re2O7 (Re7+),7/2,BOE,1,0.3239581901807469,,1,0.0
Re4f,Re2O7 (Re7+),7/2,BOE,2,0.22530837326483777,,1,0.0
Re4f,Re2O7 (Re7+),7/2,BOE,3,0.4220381044015724,,1,0.0
Re4f,Re2O7 (Re7+),7/2,Control,0,0.6099219367951747,,1,0.0
Re4f,Re2O7 (Re7+),7/2,Control,1,0.4734052908492856,,1,0.0
Re4f,Re2O7 (Re7+),7/2,Control,2,0.4590955598532531,,1,0.0
Re4f,Re2O7 (Re7+),7/2,Control,3,0.4609680109369094,,1,0.0
Re4f,ReO2 (Re4+),5/2,BOE,0,-0.3929006351242279,,1,0.0
Re4f,ReO2 (Re4+),5/2,BOE,1,-0.3863244341581691,,1,0.0
Re4f,ReO2 (Re4+),5/2,BOE,2,-0.33848691801923536,,1,0.0
Re4f,ReO2 (Re4+),5/2,BOE,3,-0.369326923741113,,1,0.0
Re4f,ReO2 (Re4+),5/2,Control,0,-0.3947231542993279,,1,0.0
Re4f,ReO2 (Re4+),5/2,Control,1,-0.3957079539408497,,1,0.0
Re4f,ReO2 (Re4+),5/2,Control,2,-0.39729199880255095,,1,0.0
Re4f,ReO2 (Re4+),5/2,Control,3,-0.3976548025217923,,1,0.0
Re4f,ReO2 (Re4+),7/2,BOE,0,-0.3999999999999275,,1,0.0
Re4f,ReO2 (Re4+),7/2,BOE,1,-0.39434175754414724,,1,0.0
Re4f,ReO2 (Re4+),7/2,BOE,2,-0.3452663270565921,,1,0.0
Re4f,ReO2 (Re4+),7/2,BOE,3,-0.3763566454873697,,1,0.0
Re4f,ReO2 (Re4+),7/2,Control,0,-0.39999999999970015,,1,0.0
Re4f,ReO2 (Re4+),7/2,Control,1,-0.3999999999967514,,1,0.0
Re4f,ReO2 (Re4+),7/2,Control,2,-0.4000000000000057,,1,0.0
Re4f,ReO2 (Re4+),7/2,Control,3,-0.39999999999997726,,1,0.0
Re4f,ReO3 (Re6+),5/2,BOE,0,-0.3142465267044301,,1,0.0
Re4f,ReO3 (Re6+),5/2,BOE,1,0.13439361195336375,,1,0.0
Re4f,ReO3 (Re6+),5/2,BOE,2,0.18918883231368255,,1,0.0
Re4f,ReO3 (Re6+),5/2,BOE,3,0.1029052380687574,,1,0.0
Re4f,ReO3 (Re6+),5/2,Control,0,-0.08693988971255351,,1,0.0
Re4f,ReO3 (Re6+),5/2,Control,1,-0.1501692649644113,,1,0.0
Re4f,ReO3 (Re6+),5/2,Control,2,-0.13554168834524916,,1,0.0
Re4f,ReO3 (Re6+),5/2,Control,3,-0.11396287470584099,,1,0.0
Re4f,ReO3 (Re6+),7/2,BOE,0,-0.3213458915801155,,1,0.0
Re4f,ReO3 (Re6+),7/2,BOE,1,0.1263762885673927,,1,0.0
Re4f,ReO3 (Re6+),7/2,BOE,2,0.18240942327633292,,1,0.0
Re4f,ReO3 (Re6+),7/2,BOE,3,0.09587551632250779,,1,0.0
Re4f,ReO3 (Re6+),7/2,Control,0,-0.09221673541291864,,1,0.0
Re4f,ReO3 (Re6+),7/2,Control,1,-0.15446131102031302,,1,0.0
Re4f,ReO3 (Re6+),7/2,Control,2,-0.13824968954269679,,1,0.0
Re4f,ReO3 (Re6+),7/2,Control,3,-0.11630807218401884,,1,0.0
Re4f,Redp1 (Reδ+1),5/2,BOE,0,0.11709074186436652,,1,0.0
Re4f,Redp1 (Reδ+1),5/2,BOE,1,0.10828930151961202,,1,0.0
Re4f,Redp1 (Reδ+1),5/2,BOE,2,0.10967708792039588,,1,0.0
Re4f,Redp1 (Reδ+1),5/2,BOE,3,0.10208888357806245,,1,0.0
Re4f,Redp1 (Reδ+1),5/2,Control,0,0.11546142744029453,,1,0.0
Re4f,Redp1 (Reδ+1),5/2,Control,1,0.10296571304007074,,1,0.0
Re4f,Redp1 (Reδ+1),5/2,Control,2,0.10519735027832411,,1,0.0
Re4f,Redp1 (Reδ+1),5/2,Control,3,0.10149786468948463,,1,0.0
Re4f,Redp1 (Reδ+1),7/2,BOE,0,0.10999137698868111,,1,0.0
Re4f,Redp1 (Reδ+1),7/2,BOE,1,0.10027197813364097,,1,0.0
