index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
0,BOE_WK0,,,Re4f,Re metal,7/2,40.35,40.45999137698868,0.0016398760612014796,0.10999137698868111
0,BOE_WK0,,,Re4f,Re metal,5/2,42.77,42.88709074186437,0.0022981374639696795,0.11709074186436652
0,BOE_WK0,,,Re4f,Redp1 (Reδ+1),7/2,40.57,40.67999137698868,0.0016398760643665075,0.10999137698868111
0,BOE_WK0,,,Re4f,Redp1 (Reδ+1),5/2,42.99,43.10709074186437,0.0022981374639696795,0.11709074186436652
0,BOE_WK0,,,Re4f,Redp2 (Reδ+2),7/2,40.8,40.909991376988685,0.0016398760643665075,0.10999137698868822
0,BOE_WK0,,,Re4f,Redp2 (Reδ+2),5/2,43.22,43.33709074186437,0.0022981374639696795,0.11709074186437363
0,BOE_WK0,,,Re4f,Redp3 (Reδ+3),7/2,41.08,41.18999137698868,0.0016398760643665075,0.10999137698868111
0,BOE_WK0,,,Re4f,Redp3 (Reδ+3),5/2,43.5,43.617090741864374,0.0022981374639696795,0.11709074186437363
0,BOE_WK0,,,Re4f,ReO2 (Re4+),7/2,42.2,41.800000000000075,4.0410215532383436e-08,-0.3999999999999275
0,BOE_WK0,,,Re4f,ReO2 (Re4+),5/2,44.62,44.22709936487577,0.002240693564587127,-0.3929006351242279
0,BOE_WK0,,,Re4f,ReO3 (Re6+),7/2,43.1,42.778654108419886,0.0432677999881711,-0.3213458915801155
0,BOE_WK0,,,Re4f,ReO3 (Re6+),5/2,45.52,45.20575347329557,0.04232738623908812,-0.3142465267044301
0,BOE_WK0,,,Re4f,Re2O7 (Re7+),7/2,45.5,45.78606979359508,0.09415607868375109,0.28606979359508244
0,BOE_WK0,,,Re4f,Re2O7 (Re7+),5/2,47.92,48.21316915847078,0.09447517145940657,0.29316915847077496
1,BOE_WK1,,,Re4f,Re metal,7/2,40.35,40.45027197813364,0.002843537048070913,0.10027197813364097
1,BOE_WK1,,,Re4f,Re metal,5/2,42.77,42.878289301519615,0.003616986475541874,0.10828930151961202
