index,sample,etchlevel,etchtime,species,expected_sigma_eV,fitted_sigma_eV,fitted_stderr,delta_eV
0,BOE_WK0,,,Re metal,0.12,0.2206130461315545,0.0007854762846050923,0.1006130461315545
0,BOE_WK0,,,ReO2 (Re4+),0.25,0.3748472212151589,0.02498609953781224,0.1248472212151589
0,BOE_WK0,,,ReO3 (Re6+),0.25,0.7499999999999454,9.284600095358605e-08,0.4999999999999454
0,BOE_WK0,,,Re2O7 (Re7+),0.3,0.25573870157657663,0.07166327325156331,-0.044261298423423356
1,BOE_WK1,,,Re metal,0.12,0.21645641967873383,0.001728423670158769,0.09645641967873383
1,BOE_WK1,,,ReO2 (Re4+),0.25,0.5999999999999998,2.7361226272137656e-09,0.34999999999999976
1,BOE_WK1,,,ReO3 (Re6+),0.25,0.7499999999999966,9.918971502371388e-09,0.49999999999999656
1,BOE_WK1,,,Re2O7 (Re7+),0.3,0.45805297540467194,0.007599777697406004,0.15805297540467195
2,BOE_WK2,,,Re metal,0.12,0.21787477446970563,0.0020940861135836856,0.09787477446970563
2,BOE_WK2,,,ReO2 (Re4+),0.25,0.5999999999912561,5.979610662876178e-07,0.3499999999912561
2,BOE_WK2,,,ReO3 (Re6+),0.25,0.7499999999999967,1.0987404558014245e-08,0.49999999999999667
2,BOE_WK2,,,Re2O7 (Re7+),0.3,0.4608039676368352,0.0066206818086671105,0.1608039676368352
3,BOE_WK3,,,Re metal,0.12,0.21749468708676153,0.0020535814981832716,0.09749468708676154
3,BOE_WK3,,,ReO2 (Re4+),0.25,0.5999999999981455,2.608976080223697e-07,0.34999999999814546
3,BOE_WK3,,,ReO3 (Re6+),0.25,0.7499999999991751,1.5835885010774784e-07,0.4999999999991751
3,BOE_WK3,,,Re2O7 (Re7+),0.3,0.45098196594329165,0.006835614207034619,0.15098196594329166
4,Control_WK0,,,Re metal,0.12,0.21948475654283592,0.0009308766316089474,0.09948475654283592
4,Control_WK0,,,ReO2 (Re4+),0.25,0.43818077090032437,0.04366192027000316,0.18818077090032437
4,Control_WK0,,,ReO3 (Re6+),0.25,0.7499999999999964,1.2171964185213164e-08,0.49999999999999645
4,Control_WK0,,,Re2O7 (Re7+),0.3,0.4334728725230822,0.015292435770879883,0.1334728725230822
5,Control_WK1,,,Re metal,0.12,0.2176141534246894,0.0017244471718831124,0.0976141534246894
5,Control_WK1,,,ReO2 (Re4+),0.25,0.37737630237300834,0.03219201861501529,0.12737630237300834
5,Control_WK1,,,ReO3 (Re6+),0.25,0.7499999999999986,1.1807058306368846e-08,0.49999999999999856
5,Control_WK1,,,Re2O7 (Re7+),0.3,0.4124202671849444,0.014804358012605507,0.11242026718494441
6,Control_WK2,,,Re metal,0.12,0.21726619538780978,0.0017375848033350477,0.09726619538780978
6,Control_WK2,,,ReO2 (Re4+),0.25,0.3712998328697427,0.03216234165405733,0.12129983286974272
6,Control_WK2,,,ReO3 (Re6+),0.25,0.7499999999999972,1.4461206574167427e-08,0.4999999999999972
6,Control_WK2,,,Re2O7 (Re7+),0.3,0.4229827609923156,0.014654920709557531,0.12298276099231559
7,Control_WK3,,,Re metal,0.12,0.21853503255019854,0.0009444198445984847,0.09853503255019855
7,Control_WK3,,,ReO2 (Re4+),0.25,0.38276395504904387,0.032002612171059805,0.13276395504904387
7,Control_WK3,,,ReO3 (Re6+),0.25,0.7499999999999987,8.0245604417537e-09,0.49999999999999867
7,Control_WK3,,,Re2O7 (Re7+),0.3,0.43440359414525265,0.013625801909758982,0.13440359414525266
