sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV
BOE_WK0,BOE,Ta4f,Ta metal,7/2,22.0,22.43370425801955,0.0,0.43370425801954937
BOE_WK0,BOE,Ta4f,Ta metal,5/2,23.9,24.34370425801955,0.0,0.44370425801955093
BOE_WK0,BOE,Ta4f,Ta interface,7/2,22.4,22.712014982406238,0.0,0.3120149824062395
BOE_WK0,BOE,Ta4f,Ta interface,5/2,24.3,24.622014982406238,0.0,0.3220149824062375
BOE_WK0,BOE,Ta4f,Ta alloy,7/2,24.0,23.93370425801955,0.0,-0.06629574198045063
BOE_WK0,BOE,Ta4f,Ta alloy,5/2,25.9,25.84370425801955,0.0,-0.056295741980449066
BOE_WK0,BOE,Ta4f,Ta+1,7/2,22.7,22.72205830004281,0.0,0.022058300042811396
BOE_WK0,BOE,Ta4f,Ta+1,5/2,24.6,24.63205830004281,0.0,0.03205830004280941
BOE_WK0,BOE,Ta4f,Ta+3,7/2,24.2,24.203541535359843,0.0,0.003541535359843806
BOE_WK0,BOE,Ta4f,Ta+3,5/2,26.1,26.113541535359843,0.0,0.013541535359841816
BOE_WK0,BOE,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.872165423714748,0.0,-0.9278345762852531
BOE_WK0,BOE,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.782165423714748,0.0,-0.9178345762852516
BOE_WK1,BOE,Ta4f,Ta metal,7/2,22.0,22.42553717100441,0.0,0.4255371710044109
BOE_WK1,BOE,Ta4f,Ta metal,5/2,23.9,24.33553717100441,0.0,0.43553717100441247
BOE_WK1,BOE,Ta4f,Ta interface,7/2,22.4,22.752907559375036,0.0,0.35290755937503704
BOE_WK1,BOE,Ta4f,Ta interface,5/2,24.3,24.662907559375036,0.0,0.36290755937503505
BOE_WK1,BOE,Ta4f,Ta alloy,7/2,24.0,23.93053717100441,0.0,-0.06946282899559009
BOE_WK1,BOE,Ta4f,Ta alloy,5/2,25.9,25.84053717100441,0.0,-0.059462828995588524
BOE_WK1,BOE,Ta4f,Ta+1,7/2,22.7,22.183606465650982,0.0,-0.5163935343490174
BOE_WK1,BOE,Ta4f,Ta+1,5/2,24.6,24.093606465650982,0.0,-0.5063935343490193
BOE_WK1,BOE,Ta4f,Ta+3,7/2,24.2,23.500000000000085,0.0,-0.699999999999914
BOE_WK1,BOE,Ta4f,Ta+3,5/2,26.1,25.410000000000085,0.0,-0.689999999999916
BOE_WK1,BOE,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.85732469123195,0.0,-0.9426753087680524
BOE_WK1,BOE,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.76732469123195,0.0,-0.9326753087680508
BOE_WK2,BOE,Ta4f,Ta metal,7/2,22.0,22.42118566010771,0.021330303368067335,0.4211856601077102
BOE_WK2,BOE,Ta4f,Ta metal,5/2,23.9,24.33118566010771,0.021330303322945783,0.43118566010771175
BOE_WK2,BOE,Ta4f,Ta interface,7/2,22.4,22.760434003380254,0.040314363361992685,0.3604340033802558
BOE_WK2,BOE,Ta4f,Ta interface,5/2,24.3,24.670434003380254,0.040314363361992685,0.3704340033802538
BOE_WK2,BOE,Ta4f,Ta alloy,7/2,24.0,24.836939079730026,1.2382562206158287,0.8369390797300262
BOE_WK2,BOE,Ta4f,Ta alloy,5/2,25.9,26.746939079730026,1.2382562206158287,0.8469390797300278
BOE_WK2,BOE,Ta4f,Ta+1,7/2,22.7,22.03169245474951,0.1693456923748104,-0.6683075452504887
BOE_WK2,BOE,Ta4f,Ta+1,5/2,24.6,23.94169245474951,0.16934569276015782,-0.6583075452504907
BOE_WK2,BOE,Ta4f,Ta+3,7/2,24.2,23.500000000000004,0.081627669995119,-0.6999999999999957
BOE_WK2,BOE,Ta4f,Ta+3,5/2,26.1,25.410000000000004,0.081627669995119,-0.6899999999999977
BOE_WK2,BOE,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.93657975939543,0.004901929888664488,-0.8634202406045723
BOE_WK2,BOE,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.84657975939543,0.004901929878248732,-0.8534202406045708
BOE_WK3,BOE,Ta4f,Ta metal,7/2,22.0,22.41931399150184,0.023132088101972696,0.41931399150184134
BOE_WK3,BOE,Ta4f,Ta metal,5/2,23.9,24.32931399150184,0.023132088138426717,0.4293139915018429
BOE_WK3,BOE,Ta4f,Ta interface,7/2,22.4,22.754862416852525,0.048373938601345826,0.3548624168525265
