index,sample,etchlevel,etchtime,sample_type,species,expected_amp,fitted_amp,stderr,delta
0,BOE_WK0,,,BOE samples,Ta metal,0.4,0.4176727854473368,0.0,0.017672785447336803
0,BOE_WK0,,,BOE samples,Ta interface,0.1,0.10370051980047196,0.0,0.003700519800471952
0,BOE_WK0,,,BOE samples,Ta alloy,0.15,0.02256623655517376,0.0,-0.12743376344482624
0,BOE_WK0,,,BOE samples,Ta+1,0.05,0.13437736695414157,0.0,0.08437736695414157
0,BOE_WK0,,,BOE samples,Ta+3,0.05,1.2899529399678976e-19,0.0,-0.05
0,BOE_WK0,,,BOE samples,Ta+5 (Ta2O5),0.25,0.3216830912428758,0.0,0.07168309124287581
1,BOE_WK1,,,BOE samples,Ta metal,0.4,0.3025164849958698,0.0,-0.09748351500413022
1,BOE_WK1,,,BOE samples,Ta interface,0.1,0.10528372208309712,0.0,0.005283722083097117
1,BOE_WK1,,,BOE samples,Ta alloy,0.15,3.974481139376385e-18,0.0,-0.15
1,BOE_WK1,,,BOE samples,Ta+1,0.05,0.03904803509869493,0.0,-0.010951964901305074
1,BOE_WK1,,,BOE samples,Ta+3,0.05,0.054790145252619674,0.0,0.004790145252619671
1,BOE_WK1,,,BOE samples,Ta+5 (Ta2O5),0.25,0.49836161256971845,0.0,0.24836161256971845
2,BOE_WK2,,,BOE samples,Ta metal,0.4,0.2750426946087445,0.033882212232512886,-0.12495730539125555
2,BOE_WK2,,,BOE samples,Ta interface,0.1,0.10522270573229885,0.021898361776518337,0.005222705732298841
2,BOE_WK2,,,BOE samples,Ta alloy,0.15,0.0010272835241705372,0.004035896133687414,-0.14897271647582946
2,BOE_WK2,,,BOE samples,Ta+1,0.05,0.032299072604714436,0.011133126863231842,-0.017700927395285566
2,BOE_WK2,,,BOE samples,Ta+3,0.05,0.05110548073039013,0.007054438491710835,0.0011054807303901293
2,BOE_WK2,,,BOE samples,Ta+5 (Ta2O5),0.25,0.5353027627996817,0.004979133735626188,0.2853027627996817
3,BOE_WK3,,,BOE samples,Ta metal,0.4,0.2794917377529092,0.0476435403064043,-0.12050826224709082
3,BOE_WK3,,,BOE samples,Ta interface,0.1,0.10548071859139824,0.02550774195692697,0.0054807185913982315
3,BOE_WK3,,,BOE samples,Ta alloy,0.15,0.003601952377050361,0.00884390406131189,-0.14639804762294964
3,BOE_WK3,,,BOE samples,Ta+1,0.05,0.04020956405672028,0.021367632303456948,-0.009790435943279725
3,BOE_WK3,,,BOE samples,Ta+3,0.05,0.052706773344564924,0.010257133277147817,0.002706773344564921
3,BOE_WK3,,,BOE samples,Ta+5 (Ta2O5),0.25,0.5185092538773571,0.0037504796831168007,0.26850925387735713
4,Control_WK0,,,Control samples,Ta metal,0.2,0.17938677155428612,0.02754980888000433,-0.020613228445713894
4,Control_WK0,,,Control samples,Ta interface,0.05,0.10609442671581786,0.024616306330034442,0.05609442671581785
4,Control_WK0,,,Control samples,Ta alloy,0.05,0.014369118754493574,0.003076865426614458,-0.03563088124550643
4,Control_WK0,,,Control samples,Ta+1,0.05,0.018949629266207548,0.00816172443111905,-0.031050370733792455
4,Control_WK0,,,Control samples,Ta+3,0.1,0.030430759740808798,0.004963217648141947,-0.0695692402591912
4,Control_WK0,,,Control samples,Ta+5 (Ta2O5),0.55,0.6507692939683861,0.004248880910321139,0.10076929396838608
5,Control_WK1,,,Control samples,Ta metal,0.2,0.18270174096927036,0.02674831706741127,-0.01729825903072965
5,Control_WK1,,,Control samples,Ta interface,0.05,0.10476417710630878,0.023591418271702826,0.05476417710630878
5,Control_WK1,,,Control samples,Ta alloy,0.05,0.009506947462185543,0.0032963194884972286,-0.04049305253781446
5,Control_WK1,,,Control samples,Ta+1,0.05,0.016391373593811,0.009075819749283717,-0.033608626406189
5,Control_WK1,,,Control samples,Ta+3,0.1,0.033019481611846285,0.004892176510548791,-0.06698051838815372
5,Control_WK1,,,Control samples,Ta+5 (Ta2O5),0.55,0.6536162792565781,0.004428884821891136,0.10361627925657801
6,Control_WK2,,,Control samples,Ta metal,0.2,0.18654508529192654,0.026090775517680853,-0.013454914708073473
6,Control_WK2,,,Control samples,Ta interface,0.05,0.09528271084396629,0.022133488130772205,0.04528271084396629
6,Control_WK2,,,Control samples,Ta alloy,0.05,0.012159680141824057,0.003259622437454219,-0.037840319858175944
6,Control_WK2,,,Control samples,Ta+1,0.05,0.018895930368438455,0.008271483827175794,-0.031104069631561548
6,Control_WK2,,,Control samples,Ta+3,0.1,0.03058434001510612,0.004485488100393784,-0.06941565998489388
6,Control_WK2,,,Control samples,Ta+5 (Ta2O5),0.55,0.6565322533387387,0.004293697477010452,0.10653225333873861
7,Control_WK3,,,Control samples,Ta metal,0.2,0.17872354326462,0.026614645660501694,-0.021276456735380006
7,Control_WK3,,,Control samples,Ta interface,0.05,0.10513713461350048,0.02387227421029078,0.05513713461350048
7,Control_WK3,,,Control samples,Ta alloy,0.05,0.010371299193444037,0.0031899547711882912,-0.039628700806555964
7,Control_WK3,,,Control samples,Ta+1,0.05,0.016871407195613475,0.008692791987816945,-0.03312859280438653
7,Control_WK3,,,Control samples,Ta+3,0.1,0.03286782434490395,0.004840318439787591,-0.06713217565509605
7,Control_WK3,,,Control samples,Ta+5 (Ta2O5),0.55,0.6560287913879179,0.0042852876399397735,0.10602879138791788
