index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
0,BOE_WK0,,,Ta4f,Ta metal,7/2,22.0,22.43370425801955,0.0,0.43370425801954937
0,BOE_WK0,,,Ta4f,Ta metal,5/2,23.9,24.34370425801955,0.0,0.44370425801955093
0,BOE_WK0,,,Ta4f,Ta interface,7/2,22.4,22.712014982406238,0.0,0.3120149824062395
0,BOE_WK0,,,Ta4f,Ta interface,5/2,24.3,24.622014982406238,0.0,0.3220149824062375
0,BOE_WK0,,,Ta4f,Ta alloy,7/2,24.0,23.93370425801955,0.0,-0.06629574198045063
0,BOE_WK0,,,Ta4f,Ta alloy,5/2,25.9,25.84370425801955,0.0,-0.056295741980449066
0,BOE_WK0,,,Ta4f,Ta+1,7/2,22.7,22.72205830004281,0.0,0.022058300042811396
0,BOE_WK0,,,Ta4f,Ta+1,5/2,24.6,24.63205830004281,0.0,0.03205830004280941
0,BOE_WK0,,,Ta4f,Ta+3,7/2,24.2,24.203541535359843,0.0,0.003541535359843806
0,BOE_WK0,,,Ta4f,Ta+3,5/2,26.1,26.113541535359843,0.0,0.013541535359841816
0,BOE_WK0,,,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.872165423714748,0.0,-0.9278345762852531
0,BOE_WK0,,,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.782165423714748,0.0,-0.9178345762852516
1,BOE_WK1,,,Ta4f,Ta metal,7/2,22.0,22.42553717100441,0.0,0.4255371710044109
1,BOE_WK1,,,Ta4f,Ta metal,5/2,23.9,24.33553717100441,0.0,0.43553717100441247
1,BOE_WK1,,,Ta4f,Ta interface,7/2,22.4,22.752907559375036,0.0,0.35290755937503704
1,BOE_WK1,,,Ta4f,Ta interface,5/2,24.3,24.662907559375036,0.0,0.36290755937503505
1,BOE_WK1,,,Ta4f,Ta alloy,7/2,24.0,23.93053717100441,0.0,-0.06946282899559009
1,BOE_WK1,,,Ta4f,Ta alloy,5/2,25.9,25.84053717100441,0.0,-0.059462828995588524
1,BOE_WK1,,,Ta4f,Ta+1,7/2,22.7,22.183606465650982,0.0,-0.5163935343490174
1,BOE_WK1,,,Ta4f,Ta+1,5/2,24.6,24.093606465650982,0.0,-0.5063935343490193
1,BOE_WK1,,,Ta4f,Ta+3,7/2,24.2,23.500000000000085,0.0,-0.699999999999914
1,BOE_WK1,,,Ta4f,Ta+3,5/2,26.1,25.410000000000085,0.0,-0.689999999999916
