sample,species,normalized_amplitude,stderr_normalized
BOE_WK0,metal,0.4176727854473368,0.0
BOE_WK0,Ta5,0.3216830912428758,0.0
BOE_WK0,Ta3,1.2899529399678976e-19,0.0
BOE_WK0,Ta1,0.13437736695414157,0.0
BOE_WK0,interface,0.10370051980047196,0.0
BOE_WK0,alloy,0.02256623655517376,0.0
BOE_WK1,metal,0.3025164849958698,0.0
BOE_WK1,Ta5,0.49836161256971845,0.0
BOE_WK1,Ta3,0.054790145252619674,0.0
BOE_WK1,Ta1,0.03904803509869493,0.0
BOE_WK1,interface,0.10528372208309712,0.0
BOE_WK1,alloy,3.974481139376385e-18,0.0
BOE_WK2,metal,0.2750426946087445,0.033640060205911926
BOE_WK2,Ta5,0.5353027627996817,0.004607578851206264
BOE_WK2,Ta3,0.05110548073039013,0.0070858571583864455
BOE_WK2,Ta1,0.032299072604714436,0.011152133213760771
BOE_WK2,interface,0.10522270573229885,0.02197068578700931
BOE_WK2,alloy,0.0010272835241705372,0.004036179657215341
BOE_WK3,metal,0.2794917377529092,0.04732052119586297
BOE_WK3,Ta5,0.5185092538773571,0.00369681692881815
BOE_WK3,Ta3,0.052706773344564924,0.01029938941468003
BOE_WK3,Ta1,0.04020956405672028,0.02140816553053645
BOE_WK3,interface,0.10548071859139824,0.02558206990256257
BOE_WK3,alloy,0.003601952377050361,0.008844342014263285
Control_WK0,metal,0.17938677155428612,0.027425890932291544
Control_WK0,Ta5,0.6507692939683861,0.0038274569579918633
Control_WK0,Ta3,0.030430759740808798,0.004979720001172999
Control_WK0,Ta1,0.018949629266207548,0.008171591735224658
Control_WK0,interface,0.10609442671581786,0.024657631011815898
Control_WK0,alloy,0.014369118754493574,0.0030790203032037195
Control_WK1,metal,0.18270174096927036,0.0266241883218113
Control_WK1,Ta5,0.6536162792565781,0.0039536642070897516
Control_WK1,Ta3,0.033019481611846285,0.004909340429780666
Control_WK1,Ta1,0.016391373593811,0.00908443771073
Control_WK1,interface,0.10476417710630878,0.023627621735653147
Control_WK1,alloy,0.009506947462185543,0.0032979914992625273
Control_WK2,metal,0.18654508529192654,0.025967471115102257
Control_WK2,Ta5,0.6565322533387387,0.0038950696257018277
Control_WK2,Ta3,0.03058434001510612,0.004500588201294632
Control_WK2,Ta1,0.018895930368438455,0.008281032419345705
Control_WK2,interface,0.09528271084396629,0.022170354136300672
Control_WK2,alloy,0.012159680141824057,0.003260926395641671
Control_WK3,metal,0.17872354326462,0.026497536516377825
Control_WK3,Ta5,0.6560287913879179,0.0038672698555253567
Control_WK3,Ta3,0.03286782434490395,0.004857960108238966
Control_WK3,Ta1,0.016871407195613475,0.00870159175601163
Control_WK3,interface,0.10513713461350048,0.023906783705004514
Control_WK3,alloy,0.010371299193444037,0.003191478677611964
