index,sample,etchlevel,etchtime,sample_type,species,expected_amp,fitted_amp,stderr,delta
0,BOE_WK0,,,BOE samples,Re metal,0.65,0.8996659604148861,0.0,0.2496659604148861
0,BOE_WK0,,,BOE samples,ReO2 (Re4+),0.15,0.03398066176066271,0.0,-0.11601933823933729
0,BOE_WK0,,,BOE samples,ReO3 (Re6+),0.1,0.06115250601984172,0.0,-0.038847493980158285
0,BOE_WK0,,,BOE samples,Re2O7 (Re7+),0.05,0.005200871804609406,0.0,-0.0447991281953906
1,BOE_WK1,,,BOE samples,Re metal,0.65,0.7333470867772145,0.0,0.08334708677721447
1,BOE_WK1,,,BOE samples,ReO2 (Re4+),0.15,0.09623689564268186,0.0,-0.05376310435731814
1,BOE_WK1,,,BOE samples,ReO3 (Re6+),0.1,0.05678924918715482,0.0,-0.043210750812845186
1,BOE_WK1,,,BOE samples,Re2O7 (Re7+),0.05,0.11362676839294883,0.0,0.06362676839294883
2,BOE_WK2,,,BOE samples,Re metal,0.65,0.6827653010761056,0.0,0.032765301076105535
2,BOE_WK2,,,BOE samples,ReO2 (Re4+),0.15,0.09503009842112195,0.0,-0.054969901578878044
2,BOE_WK2,,,BOE samples,ReO3 (Re6+),0.1,0.05504773095325902,0.0,-0.04495226904674098
2,BOE_WK2,,,BOE samples,Re2O7 (Re7+),0.05,0.16715686954951342,0.0,0.11715686954951342
3,BOE_WK3,,,BOE samples,Re metal,0.65,0.7187732370905515,0.0,0.0687732370905515
3,BOE_WK3,,,BOE samples,ReO2 (Re4+),0.15,0.1002406808433155,0.0,-0.049759319156684495
3,BOE_WK3,,,BOE samples,ReO3 (Re6+),0.1,0.04358688421113945,0.0,-0.05641311578886055
3,BOE_WK3,,,BOE samples,Re2O7 (Re7+),0.05,0.13739919785499355,0.0,0.08739919785499355
4,Control_WK0,,,Control samples,Re metal,0.46,0.8475352465919397,0.0,0.38753524659193966
4,Control_WK0,,,Control samples,ReO2 (Re4+),0.25,0.07055706994224326,0.0,-0.17944293005775674
4,Control_WK0,,,Control samples,ReO3 (Re6+),0.15,0.03363385358122443,0.0,-0.11636614641877557
4,Control_WK0,,,Control samples,Re2O7 (Re7+),0.1,0.04827382988459262,0.0,-0.05172617011540739
5,Control_WK1,,,Control samples,Re metal,0.46,0.8434264146368369,0.0,0.38342641463683685
5,Control_WK1,,,Control samples,ReO2 (Re4+),0.25,0.08496066911189998,0.0,-0.16503933088810002
5,Control_WK1,,,Control samples,ReO3 (Re6+),0.15,0.016951810397260913,0.0,-0.1330481896027391
5,Control_WK1,,,Control samples,Re2O7 (Re7+),0.1,0.05466110585400226,0.0,-0.045338894145997746
6,Control_WK2,,,Control samples,Re metal,0.46,0.8367304367384898,0.0,0.37673043673848977
6,Control_WK2,,,Control samples,ReO2 (Re4+),0.25,0.08708667343303966,0.0,-0.16291332656696034
6,Control_WK2,,,Control samples,ReO3 (Re6+),0.15,0.018417645918050476,0.0,-0.13158235408194952
6,Control_WK2,,,Control samples,Re2O7 (Re7+),0.1,0.05776524391042007,0.0,-0.04223475608957994
7,Control_WK3,,,Control samples,Re metal,0.46,0.8336942101864772,0.0,0.37369421018647714
7,Control_WK3,,,Control samples,ReO2 (Re4+),0.25,0.08149551054095636,0.0,-0.16850448945904364
7,Control_WK3,,,Control samples,ReO3 (Re6+),0.15,0.025425223091445303,0.0,-0.12457477690855469
7,Control_WK3,,,Control samples,Re2O7 (Re7+),0.1,0.05938505618112118,0.0,-0.040614943818878826
