element,species,spin,group,weighted_mean_delta_eV,weighted_stderr_eV,flagged
Re4f,Re metal,5/2,BOE,0.10816329373914968,0.05,False
Re4f,Re metal,5/2,Control,0.10626250817260185,0.05,False
Re4f,Re metal,7/2,BOE,0.09938732587581889,0.05,False
Re4f,Re metal,7/2,Control,0.09839512461261002,0.05,False
Re4f,Re2O7 (Re7+),5/2,BOE,0.3279381982772893,0.05,True
Re4f,Re2O7 (Re7+),5/2,Control,0.5031258179443601,0.05,True
Re4f,Re2O7 (Re7+),7/2,BOE,0.31916223041395675,0.05,True
Re4f,Re2O7 (Re7+),7/2,Control,0.49525843438436823,0.05,True
Re4f,ReO (Re2+),5/2,BOE,0.21872483801945464,0.05,False
Re4f,ReO (Re2+),5/2,Control,0.13039857739668648,0.05,False
Re4f,ReO (Re2+),7/2,BOE,0.20994887015611496,0.05,False
Re4f,ReO (Re2+),7/2,Control,0.12253119383668754,0.05,False
Re4f,ReO2 (Re4+),5/2,BOE,0.46717913310843073,0.05,False
Re4f,ReO2 (Re4+),5/2,Control,0.5956043042623627,0.05,False
Re4f,ReO2 (Re4+),7/2,BOE,0.45840316524509284,0.05,False
Re4f,ReO2 (Re4+),7/2,Control,0.5877369207023637,0.05,False
Re4f,ReO3 (Re6+),5/2,BOE,0.6407778378706155,0.05,True
Re4f,ReO3 (Re6+),5/2,Control,0.7970394227513412,0.05,True
Re4f,ReO3 (Re6+),7/2,BOE,0.6320018700072847,0.05,True
Re4f,ReO3 (Re6+),7/2,Control,0.7891720391913495,0.05,True
Re4f,Redp1 (Reδ+1),5/2,BOE,0.10816329373914968,0.05,False
Re4f,Redp1 (Reδ+1),5/2,Control,0.10626250817260185,0.05,False
Re4f,Redp1 (Reδ+1),7/2,BOE,0.09938732587581889,0.05,False
Re4f,Redp1 (Reδ+1),7/2,Control,0.09839512461261002,0.05,False
Re4f,Redp2 (Reδ+2),5/2,BOE,0.10816329373915679,0.05,False
Re4f,Redp2 (Reδ+2),5/2,Control,0.10626250817260896,0.05,False
Re4f,Redp2 (Reδ+2),7/2,BOE,0.099387325875826,0.05,False
Re4f,Redp2 (Reδ+2),7/2,Control,0.09839512461261712,0.05,False
Re4f,Redp3 (Reδ+3),5/2,BOE,0.10816329373915146,0.05,False
Re4f,Redp3 (Reδ+3),5/2,Control,0.10626250817260185,0.05,False
Re4f,Redp3 (Reδ+3),7/2,BOE,0.09938732587581889,0.05,False
Re4f,Redp3 (Reδ+3),7/2,Control,0.09839512461261002,0.05,False
Ta4f,Ta alloy,5/2,BOE,0.45766872918019863,0.057354547112640215,True
Ta4f,Ta alloy,5/2,Control,0.8757215657713855,0.0519395784744216,True
Ta4f,Ta alloy,7/2,BOE,0.44766872918019696,0.057354547112640215,True
Ta4f,Ta alloy,7/2,Control,0.865721565771384,0.0519395784744216,True
Ta4f,Ta interface,5/2,BOE,0.3584996748344693,0.05,False
Ta4f,Ta interface,5/2,Control,0.3143183319897096,0.05,False
Ta4f,Ta interface,7/2,BOE,0.3484996748344713,0.05,False
Ta4f,Ta interface,7/2,Control,0.3043183319897116,0.05,False
Ta4f,Ta metal,5/2,BOE,0.4344557070453945,0.05,False
Ta4f,Ta metal,5/2,Control,0.41638163938430406,0.05,False
Ta4f,Ta metal,7/2,BOE,0.4244557070453929,0.05,False
Ta4f,Ta metal,7/2,Control,0.40638163938430244,0.05,False
Ta4f,Ta+1,5/2,BOE,-0.40064291885714987,0.054018644683366916,True
Ta4f,Ta+1,5/2,Control,-0.6899999999999817,0.05,True
Ta4f,Ta+1,7/2,BOE,-0.410642918949494,0.05401864467368882,True
Ta4f,Ta+1,7/2,Control,-0.6999999999999797,0.05,True
Ta4f,Ta+3,5/2,BOE,-0.649442153707438,0.050768170588819245,False
Ta4f,Ta+3,5/2,Control,-0.6322920389231506,0.05,False
Ta4f,Ta+3,7/2,BOE,-0.6594421536217855,0.05076817057269197,False
Ta4f,Ta+3,7/2,Control,-0.6422920389231486,0.05,False
Ta4f,Ta+5 (Ta2O5),5/2,BOE,-0.9020716946274812,0.05,False
Ta4f,Ta+5 (Ta2O5),5/2,Control,-0.8078349717466429,0.05,False
Ta4f,Ta+5 (Ta2O5),7/2,BOE,-0.9120716946274827,0.05,False
Ta4f,Ta+5 (Ta2O5),7/2,Control,-0.8178349717466444,0.05,False
